date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:15:36	0/0	---M--	200	added ('OK')	text/plain	date:Sat,%2014%20Oct%202023%2011:08:52%20GMT	https://bostami-wp.ibthemespro.com/robots.txt		(from )
00:15:36	57936/57936	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20Aug%202024%2019:14:45%20GMT	https://bostami-wp.ibthemespro.com/	C:/My%20Web%20Sites/wasim%20bostami/bostami-wp.ibthemespro.com/index.html	(from )
00:15:37	59016/59016	---M-Z	200	added ('OK')	text/css	date:Sat,%2014%20Oct%202023%2011:09:07%20GMT	https://bostami-wp.ibthemespro.com/wp-includes/css/dashicons.min.css?ver=6.6.1	C:/My%20Web%20Sites/wasim%20bostami/bostami-wp.ibthemespro.com/wp-includes/css/dashicons.minb6a4.css	(from https://bostami-wp.ibthemespro.com/)
00:15:37	40454/40454	---MCZ	200	added ('OK')	application/rss+xml	etag:%22fd70deb2ac79f327b700cffb229bb898%22	https://bostami-wp.ibthemespro.com/feed/	C:/My%20Web%20Sites/wasim%20bostami/bostami-wp.ibthemespro.com/feed/index.html	(from https://bostami-wp.ibthemespro.com/)
00:15:38	101709/101709	---M-Z	200	added ('OK')	text/css	date:Sat,%2014%20Oct%202023%2011:09:04%20GMT	https://bostami-wp.ibthemespro.com/wp-content/plugins/menu-icons/css/fontawesome/css/all.min.css?ver=5.15.4	C:/My%20Web%20Sites/wasim%20bostami/bostami-wp.ibthemespro.com/wp-content/plugins/menu-icons/css/fontawesome/css/all.min7a5f.css	(from https://bostami-wp.ibthemespro.com/)
00:15:38	1683/1683	---M-Z	200	added ('OK')	application/rss+xml	etag:%22fd70deb2ac79f327b700cffb229bb898%22	https://bostami-wp.ibthemespro.com/comments/feed/	C:/My%20Web%20Sites/wasim%20bostami/bostami-wp.ibthemespro.com/comments/feed/index.html	(from https://bostami-wp.ibthemespro.com/)
00:15:38	815/815	---M-Z	200	added ('OK')	text/css	date:Sat,%2014%20Oct%202023%2011:09:04%20GMT	https://bostami-wp.ibthemespro.com/wp-content/plugins/menu-icons/css/extra.min.css?ver=0.13.7	C:/My%20Web%20Sites/wasim%20bostami/bostami-wp.ibthemespro.com/wp-content/plugins/menu-icons/css/extra.minb36a.css	(from https://bostami-wp.ibthemespro.com/)
00:15:38	112419/112419	---M-Z	200	added ('OK')	text/css	date:Wed,%2031%20Jul%202024%2007:04:16%20GMT	https://bostami-wp.ibthemespro.com/wp-includes/css/dist/block-library/style.min.css?ver=6.6.1	C:/My%20Web%20Sites/wasim%20bostami/bostami-wp.ibthemespro.com/wp-includes/css/dist/block-library/style.minb6a4.css	(from https://bostami-wp.ibthemespro.com/)
00:15:39	3652/3652	---M-Z	200	added ('OK')	text/css	date:Sat,%2014%20Oct%202023%2011:08:59%20GMT	https://bostami-wp.ibthemespro.com/wp-content/plugins/bostami-toolkit//assets/css/odometer.css?ver=1.0	C:/My%20Web%20Sites/wasim%20bostami/bostami-wp.ibthemespro.com/wp-content/plugins/bostami-toolkit/assets/css/odometer5152.css	(from https://bostami-wp.ibthemespro.com/)
00:15:39	32264/32264	---M-Z	200	added ('OK')	text/css	date:Sat,%2014%20Oct%202023%2011:08:59%20GMT	https://bostami-wp.ibthemespro.com/wp-content/plugins/bostami-toolkit//assets/css/bostami-toolkit.css?ver=1.0	C:/My%20Web%20Sites/wasim%20bostami/bostami-wp.ibthemespro.com/wp-content/plugins/bostami-toolkit/assets/css/bostami-toolkit5152.css	(from https://bostami-wp.ibthemespro.com/)
